surname,popularity
Novelli,3 164
Adamo,3 161
Turco,3 161
Poletti,3 155
Bertoni,3 146
Mazzei,3 136
Tommasi,3 129
D alessio,3 123
Palla,3 122
Parente,3 121
Gambino,3 121
Di lorenzo,3 106
Fede,3 104
Del vecchio,3 104
Casati,3 100
Martinez,3 099
Crippa,3 098
Cara,3 096
Piccinini,3 095
Caselli,3 093
Boi,3 091
Furlan,3 089
Nicolosi,3 083
Longhi,3 079
Corradini,3 077
Bernasconi,3 077
Carrara,3 074
Distefano,3 073
Capasso,3 068
Arcuri,3 063
Casagrande,3 059
Gattini,3 057
Pavone,3 054
Natali,3 051
Viviani,3 049
Chiari,3 045
Guerrini,3 043
Zamboni,3 043
Carella,3 042
Mereu,3 038
Molteni,3 038
Madonia,3 033
Salvadori,3 032
Antonucci,3 032
Brescia,3 030
Damiano,3 028
Amore,3 026
Casali,3 022
Di matteo,3 022
Smith,3 022
Fantoni,3 018
Lia,3 017
Donato,3 015
Fois,3 014
Corona,3 009
Massari,3 007
Repetto,3 007
Mascia,3 005
Campo,3 003
Vigano,3 000
Lisa,2 997
Bondi,2 994
Danieli,2 973
Di benedetto,2 970
Campi,2 970
Iorio,2 970
Lucarelli,2 970
Marotta,2 963
Fazio,2 963
Milone,2 962
D elia,2 961
Cassano,2 957
Di gennaro,2 939
De biasi,2 933
Mazzi,2 932
Lazzarini,2 928
Ronchi,2 924
Cardone,2 924
Trovato,2 924
Bove,2 923
Righetti,2 923
Stefanelli,2 921
Ciccia,2 920
Felici,2 920
Sergi,2 916
Vaccari,2 912
Cali,2 910
Girardi,2 906
Toni,2 900
Nero,2 898
Mazzeo,2 896
Tedeschi,2 894
Gigi,2 893
D auria,2 892
Matta,2 890
Mandelli,2 890
Petrone,2 881
Polo,2 881
Calabro,2 876
Curti,2 875
Liguori,2 875
Sabatini,2 871
Marongiu,2 861
Lippi,2 851
Martin,2 847
Brandi,2 847
Galimberti,2 846
Manna,2 842
Veronesi,2 835
Capuano,2 832
Pallina,2 831
Mazzini,2 828
Casella,2 828
Borgia,2 828
Macchi,2 825
Dominici,2 824
Lucchini,2 823
Maffei,2 822
Maggioni,2 821
Cataldo,2 817
Iannone,2 816
Monte,2 815
Schiavone,2 813
Barbaro,2 811
Vassallo,2 808
Di girolamo,2 806
Chirico,2 806
Gobbi,2 805
Gandolfi,2 804
Macri,2 801
Altieri,2 800
Fossati,2 799
De marchi,2 799
D onofrio,2 796
Bellomo,2 793
Morello,2 790
Galassi,2 788
Atzori,2 787
Ruggieri,2 786
Rubini,2 784
Panico,2 781
Zanotti,2 779
Siciliano,2 777
Reale,2 775
La rocca,2 775
Marano,2 773
Cacace,2 770
Mare,2 769
Mei,2 769
Romanelli,2 768
Corrado,2 768
Fanelli,2 767
Orru,2 767
Lucci,2 763
Fini,2 763
Croce,2 762
Palazzo,2 759
Matera,2 758
Baudo,2 756
Nappi,2 748
Cerri,2 747
Bacci,2 735
Doria,2 728
