name,popularity
Cecilio,0
Cesare,1
Cherubino,0
Cino,0
Cirano,0
Cirillo,0
Ciro,0
Claudio,1
Clemente,1
Climaco,0
Clodomiro,0
Colmanno,0
Colombano,0
Concetto,0
Corbiniano,0
Coriolano,0
Coronato,0
Cosimo,1
Costante,0
Costanzo,0
Crescente,0
Crespignano,0
Cristaldo,0
Cristoforo,0
Cuniberto,0
Dacio,0
Dalmazio,0
Damiano,1
Daniele,1
Danio,0
Dario,1
Davino,0
Delfino,0
Democrito,0
Deodato,0
Desiderio,0
Diego,1
Diocleziano,0
Diogene,0
Dione,0
Dionisio,0
Dodato,0
Domezio,0
Donatello,0
Doriano,0
Duccio,0
Durante,0
Ecclesio,0
Edilberto,0
Edoardo,1
Efrem,0
Egidio,1
Egisto,0
Elia,1
Elifio,0
Elio,1
Eliseo,0
Elmo,0
Elpidio,0
Elvino,0
Emidio,0
Emilio,1
Empirio,0
Enea,0
Ennio,0
Enzo,1
Eraldo,0
Erasmo,0
Ercolano,0
Erenia,0
Erico,0
Ermenegildo,0
Ermete,0
Erminio,0
Eros,0
Esuperio,0
Ettore,1
Eufebio,0
Eufronio,0
Eusebio,0
Eustorgio,0
Eutalio,0
Evandro,0
Evasio,0
Evidio,0
Evremondo,0
Ezio,1
Fabio,1
Famiano,0
Fazio,0
Federico,1
Felice,1
Ferdinando,1
Fermo,0
Ferruccio,0
Fidenziano,0
Filiberto,0
Filomeno,0
Fiorenzo,1
Flavio,1
Floriano,0
Fortunato,1
Francesco,1
Frido,0
Fulberto,0
Fulvio,1
Furseo,0
Gabriele,1
Gaglioffo,0
Galdino,0
Galileo,0
Gandolfo,0
Gaspare,1
Gaudenzio,0
Gautiero,0
Gedeone,0
Generoso,0
Gennaro,1
Genziano,0
Gerasimo,0
Gerino,0
Gerolamo,0
Geronzio,0
Gesualdo,0
Giacinto,1
Giacomo,1
Giambattista,0
Giancarlo,0
Gianfranco,1
Gianluigi,1
Gianmaria,0
Gianni,1
Gianpiero,1
Gianuario,0
Gilberto,1
Gillo,0
Gino,1
Giobbe,0
Giocondo,0
Giona,0
Giordano,0
Giosuè,0
Giotto,0
Giove,0
Giovenzio,0
Girolamo,1
Giuliano,1
Giuseppe,1
Giusto,0
Goffredo,0
Gomberto,0
Gonerio,0
Gordiano,0
Gottardo,0
Grato,0
Gregorio,1
Gualberto,0
Guelfo,0
Guglielmo,1
Guido,1
Gumesindo,0
Iacopone,0
Icaro,0
Ido,0
Igino,0
Igor,1
Ildebrando,0
Illidio,0
Immacolato,0
Innocente,0
Iorio,0
Ippolito,0
Isacco,0
Ischirione,0
Ismaele,0
Ivan,1
Ivanoe,0
Ivone,0
Lamberto,0
Landolfo,0
Lapo,0
Lauriano,0
Lavinio,0
Leandro,0
Leonardo,1
Leonida,0
Leonzio,0
Leopoldo,0
Liberato,0
Liberio,0
Liberto,0
Lidio,0
Lino,0
Livino,0
Lodovico,0
Lorenzo,1
Luca,1
Lucio,1
Ludovico,1
Maccabeo,0
Maggiorino,0
Maiorico,0
Mamante,0
Manetto,0
Manilio,0
Mansueto,0
Marcello,1
Marco,1
Marino,1
Marolo,0
Marzio,0
Massimo,1
Matteo,1
Maurilio,0
Mauro,1
Medoro,0
Melchiade,0
Melezio,0
Menelao,0
Mennone,0
Metello,0
Michelangelo,1
Milo,0
Mirco,0
Mirocleto,0
Modesto,0
Monitore,0
Mosè,0
Napoleone,0
Narseo,0
Natale,1
Nazzareno,0
Neopolo,0
Nereo,0
Nestore,0
Nicea,0
Niceto,0
Nico,0
Nicola,1
Niniano,0
Noè,0
Nostriano,0
Oddone,0
Odidone,0
Olimpio,0
Oliviero,0
Omero,0
Onofrio,0
Onorio,0
Orenzio,0
Orfeo,0
Orlando,1
Orsino,0
Ortensio,0
Osmondo,0
Otello,0
Ottavio,1
Ovidio,0
Pacifico,0
Palatino,0
Pammachio,0
Pancrazio,0
Pantaleo,0
Paolo,1
Paride,0
Pasquale,1
Patrizio,1
Pauside,0
Pellegrino,0
Perseo,0
Pierangelo,1
Pierluigi,1
Piero,1
Pietro,1
Pippo,0
Platone,0
Plutarco,0
Polifemo,0
Pompeo,0
Ponziano,0
Porfirio,0
Postumio,0
Priamo,0
Prisco,0
Procopio,0
Protasio,0
Prudenzio,0
Pupolo,0
Quarto,0
Querano,0
Quintilio,0
Quinziano,0
Quirino,0
Raffaele,1
Raimondo,1
Ramiro,0
Ranolfo,0
Regolo,0
Remo,1
Renato,1
Respicio,0
Riccardo,1
Rinaldo,0
Robaldo,0
Rocco,1
Rodolfo,1
Rolando,1
Romano,1
Romero,0
Romolo,1
Rosario,1
Rufino,0
Ruggero,1
Rutilo,0
Sabazio,0
Sabino,0
Saffo,0
Salomè,0
Salustio,0
Salvo,1
Sandro,1
Sante,0
Sapiente,0
Saturniano,0
Saul,0
Savino,1
Secondiano,0
Semiramide,0
Sempronio,0
Senofonte,0
Serapione,0
Servidio,0
Sesto,0
Settimo,0
Severino,0
Sico,0
Sidonio,0
Sigismondo,0
Silverio,0
Silvio,1
Simone,1
Sinfronio,0
Siriano,0
Siro,0
Soccorso,0
Solocone,0
Sosteneo,0
Spano,0
Speranzio,0
Stefano,1
Stiriaco,0
Sviturno,0
Taide,0
Tancredi,0
Tarso,0
Tazio,0
Telemaco,0
Teobaldo,0
Teodosio,0
Teogene,0
Terzo,0
Tesifonte,0
Tiberio,0
Ticone,0
Tirone,0
Tiziano,1
Tobia,0
Tommaso,1
Tosco,0
Tristano,0
Tullio,0
Turibio,0
Ubaldo,1
Uberto,0
Ugolino,0
Ulberto,0
Ulfo,0
Ulpiano,0
Ulstano,0
Umberto,1
Uranio,0
Urdino,0
Ursicio,0
